state,year,metric,age_group,count,population,rate
AK,2011,Birth,15-19,880.0,24195,3637.1151064269475
AK,2011,Birth,20-24,3252.0,25658,12674.409540883935
AK,2011,Birth,25-29,3462.0,27304,12679.460884852037
AK,2011,Birth,30-34,2460.0,24113,10201.965744619085
AK,2011,Birth,35-39,1121.0,21449,5226.35087882885
AK,2011,Birth,40+,261.0,22661,1151.758527867261
AK,2011,Miscarriage,15-19,210.0,24195,867.9479231246125
AK,2011,Miscarriage,20-24,720.0,25658,2806.142333775041
AK,2011,Miscarriage,25-29,740.0,27304,2710.2256079695285
AK,2011,Miscarriage,30-34,520.0,24113,2156.5130842284243
AK,2011,Miscarriage,35-39,240.0,21449,1118.933283602965
AK,2011,Miscarriage,40+,60.0,22661,264.7720753717841
AK,2011,Pregnancy,15-19,1430.0,24195,5910.31204794379
AK,2011,Pregnancy,20-24,4680.0,25658,18239.925169537764
AK,2011,Pregnancy,25-29,4700.0,27304,17213.5950776443
AK,2011,Pregnancy,30-34,3240.0,24113,13436.735370961722
AK,2011,Pregnancy,35-39,1530.0,21449,7133.199682968903
AK,2011,Pregnancy,40+,370.0,22661,1632.7611314593353
AK,2012,Abortion,15-19,290.0,23564,1230.690884399932
AK,2012,Abortion,20-24,670.0,26320,2545.5927051671733
AK,2012,Abortion,25-29,470.0,27558,1705.4938674794978
AK,2012,Abortion,30-34,240.0,24954,961.7696561673479
AK,2012,Abortion,35-39,170.0,21721,782.652732378804
AK,2012,Abortion,40+,50.0,22561,221.62138203093838
AK,2012,Birth,15-19,817.0,23564,3467.1532846715327
AK,2012,Birth,20-24,2977.0,26320,11310.790273556231
AK,2012,Birth,25-29,3380.0,27558,12265.041004427027
AK,2012,Birth,30-34,2572.0,24954,10306.964815260078
AK,2012,Birth,35-39,1113.0,21721,5124.0734772800515
AK,2012,Birth,40+,295.0,22561,1307.5661539825362
AK,2012,Miscarriage,15-19,190.0,23564,806.3147173654727
AK,2012,Miscarriage,20-24,660.0,26320,2507.598784194529
AK,2012,Miscarriage,25-29,720.0,27558,2612.671456564337
AK,2012,Miscarriage,30-34,540.0,24954,2163.9817263765326
AK,2012,Miscarriage,35-39,240.0,21721,1104.9215045347821
AK,2012,Miscarriage,40+,60.0,22561,265.94565843712604
AK,2012,Pregnancy,15-19,1290.0,23564,5474.4525547445255
AK,2012,Pregnancy,20-24,4310.0,26320,16375.379939209728
AK,2012,Pregnancy,25-29,4570.0,27558,16583.20632847086
AK,2012,Pregnancy,30-34,3350.0,24954,13424.701450669232
AK,2012,Pregnancy,35-39,1520.0,21721,6997.836195386953
AK,2012,Pregnancy,40+,410.0,22561,1817.2953326536945
AK,2013,Abortion,15-19,230.0,23171,992.6200854516421
AK,2013,Abortion,20-24,570.0,26580,2144.469525959368
AK,2013,Abortion,25-29,480.0,28075,1709.706144256456
AK,2013,Abortion,30-34,270.0,25828,1045.3771101130556
AK,2013,Abortion,35-39,130.0,21800,596.3302752293579
AK,2013,Abortion,40+,50.0,22278,224.4366639734267
AK,2013,Birth,15-19,708.0,23171,3055.5435673902725
AK,2013,Birth,20-24,2997.0,26580,11275.395033860044
AK,2013,Birth,25-29,3547.0,28075,12634.016028495102
AK,2013,Birth,30-34,2712.0,25828,10500.232306024469
AK,2013,Birth,35-39,1172.0,21800,5376.146788990826
AK,2013,Birth,40+,277.0,22278,1243.379118412784
AK,2013,Miscarriage,15-19,170.0,23171,733.6757153338224
AK,2013,Miscarriage,20-24,660.0,26580,2483.0699774266363
AK,2013,Miscarriage,25-29,760.0,28075,2707.034728406055
AK,2013,Miscarriage,30-34,570.0,25828,2206.907232460895
AK,2013,Miscarriage,35-39,250.0,21800,1146.7889908256882
AK,2013,Miscarriage,40+,60.0,22278,269.323996768112
AK,2013,Pregnancy,15-19,1110.0,23171,4790.470847179664
AK,2013,Pregnancy,20-24,4230.0,26580,15914.221218961624
AK,2013,Pregnancy,25-29,4780.0,28075,17025.823686553875
