state,year,abortion_restricted,inadequate_prenatal_care,no_cancer_screen,infant_mortality,maternal_mortality,maternity_care_desert,maternity_practices_score,no_postpartum_visit,unintended_pregnancy,no_preventative,patients_per_doctor,inadequate_prenatal_care_z,no_cancer_screen_z,infant_mortality_z,maternal_mortality_z,maternity_care_desert_z,maternity_practices_score_z,no_postpartum_visit_z,unintended_pregnancy_z,no_preventative_z,patients_per_doctor_z,risk_index,post_dobbs,policy_shock
IL,2023,0,21.90000000000001,54.4,5.8,20.0,2.8,-80.0,7.400000000000006,27.5,23.5,1996.007984031936,-0.2754140601837658,1.6412610950370679,0.06951810719406556,-0.5624007395273182,-0.39026352395612224,0.11355962458316841,-0.9819567546863766,-0.06887390522578214,-0.8849633743226267,-0.2818076856568827,-0.16213412167445723,1.0,0.0
IN,2018,1,22.0,18.90000000000001,6.6,30.9,5.6,-78.0,7.5,7.1,24.40000000000001,2450.9803921568628,-0.2563005875635212,-1.5279859062386631,0.7672271103054229,0.8637003939807608,0.10890173806521385,0.4877979097766541,-0.9428626235225215,-2.4715234466337415,-0.661336820729806,0.6898095229340534,-0.2942572709626149,0.0,0.0
IN,2019,1,21.5,26.05000000000001,6.7,30.9,5.6,-80.5,7.5,7.1,24.40000000000001,2450.9803921568628,-0.35186795066475296,-0.8896727778127057,0.8544407356943431,0.8637003939807608,0.10890173806521385,0.02000005328479698,-0.9428626235225215,-2.4715234466337415,-0.661336820729806,0.6898095229340534,-0.278041117540436,0.0,0.0
IN,2020,1,22.299999999999997,33.2,6.7,30.9,5.6,-83.0,7.5,7.1,26.200000000000003,2409.6385542168673,-0.19896016970278269,-0.25135964938674915,0.8544407356943431,0.8637003939807608,0.10890173806521385,-0.44779780320706014,-0.9428626235225215,-2.4715234466337415,-0.21408371354417086,0.601521880738732,-0.20980226575179758,0.0,0.0
IN,2021,1,19.90000000000001,40.35,6.8,30.9,5.6,-83.0,7.5,7.1,25.299999999999997,2320.185614849188,-0.6576835125886928,0.386953479039208,0.9416543610832625,0.8637003939807608,0.10890173806521385,-0.44779780320706014,-0.9428626235225215,-2.4715234466337415,-0.4377102671369907,0.41049048257795834,-0.22458771983426035,0.0,0.0
IN,2023,1,20.799999999999997,47.5,6.8,31.4,5.6,-83.0,7.5,7.1,22.90000000000001,2415.458937198068,-0.48566225900647797,1.025266607465165,0.9416543610832625,0.9291178771692048,0.10890173806521385,-0.44779780320706014,-0.9428626235225215,-2.4715234466337415,-1.0340477433845034,0.6139516109028773,-0.17630016810685806,1.0,1.0
KS,2018,1,16.200000000000003,20.700000000000003,5.9,22.8,7.0,-79.0,9.400000000000006,27.8,28.5,2557.544757033248,-1.3648819995378092,-1.3672916920894718,0.15673173258298573,-0.1960628336720317,0.35848436907588194,0.30067876717991127,-0.20007413140923047,-0.033540823734488544,0.35740636785969765,0.9173832590275824,-0.10711669847169732,0.0,0.0
KS,2019,1,15.799999999999995,26.125,5.9,23.1,7.0,-81.0,7.5,30.8,28.0,2557.544757033248,-1.441335890018796,-0.8829771855564903,0.15673173258298573,-0.15681234375896522,0.35848436907588194,-0.07355951801357444,-0.9428626235225215,0.31978999117844664,0.23316939364146522,0.9173832590275824,-0.15119888153639857,0.0,0.0
KS,2020,1,16.5,31.549999999999997,6.0,23.1,7.0,-83.0,10.400000000000006,32.7,27.799999999999997,2481.389578163772,-1.3075415816770706,-0.398662679023509,0.2439453579719051,-0.15681234375896522,0.35848436907588194,-0.44779780320706014,0.1908671802293426,0.5435661739566392,0.18347460395417153,0.7547499190897758,-0.0035726803388888783,0.0,0.0
KS,2021,1,15.700000000000005,36.975,5.6,23.1,7.0,-82.5,8.299999999999997,25.6,26.90000000000001,2415.458937198068,-1.4604493626390405,0.08565182750947294,-0.10490914358377397,-0.15681234375896522,0.35848436907588194,-0.3542382319086887,-0.6301095742116641,-0.29265008800397424,-0.04015194963864385,0.6139516109028773,-0.19812328862565187,0.0,0.0
KS,2023,1,16.700000000000003,42.4,5.5,23.1,7.0,-82.0,9.0,29.0,25.799999999999997,2439.0243902439024,-1.2693146364365773,0.5699663340424542,-0.19212276897269334,-0.15681234375896522,0.35848436907588194,-0.2606786606103173,-0.3564506560646619,0.10779150223068545,-0.3134732929187582,0.6642768598601452,-0.08483332935528065,1.0,1.0
KY,2018,1,19.299999999999997,16.200000000000003,5.5,34.6,15.6,-68.0,11.5,30.9,27.09999999999999,2398.0815347721823,-0.7723643483101733,-1.7690272274624517,-0.19212276897269334,1.3477897695752468,1.891634816712843,2.3589893357440825,0.6209026230317708,0.33156768500887757,0.009542840048644531,0.5768412654487763,0.44037539908249235,0.0,0.0
KY,2019,1,19.0,24.09999999999999,5.7,34.6,15.6,-70.5,10.799999999999995,33.0,27.09999999999999,2398.0815347721823,-0.8297047661709118,-1.0637581764743322,-0.017695518194853814,1.3477897695752468,1.891634816712843,1.8911914792522255,0.3472437048847678,0.5788992554479324,0.009542840048644531,0.5768412654487763,0.47319846705303387,0.0,0.0
KY,2020,1,21.09999999999999,32.0,5.7,34.6,15.6,-73.0,14.0,33.8,27.200000000000003,2375.296912114014,-0.4283218411457401,-0.35848912548621076,-0.017695518194853814,1.3477897695752468,1.891634816712843,1.4233936227603683,1.5982559021282035,0.6731208060913814,0.03439023489229402,0.5281835203403112,0.6692262187673843,0.0,0.0
KY,2021,1,20.59999999999999,39.9,6.0,34.6,15.6,-73.5,12.099999999999994,31.45,26.5,2358.490566037736,-0.5238892042469719,0.3467799255019098,0.2439453579719051,1.3477897695752468,1.891634816712843,1.3298340514619968,0.8554674100149123,0.3963450010762491,-0.1395415290132321,0.4922926953811788,0.6240658294436038,0.0,0.0
