State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
NE,2022,1,20.09999999999999,45.8,5.7,23.7,7.2,-74.0,6.099999999999994,25.2,28.0,2463.054187192118,Midwest
NE,2023,1,19.90000000000001,45.8,6.1,23.7,7.2,-74.0,7.0,19.8,28.0,2487.5621890547263,Midwest
NH,2018,0,15.299999999999995,16.700000000000003,3.4,18.2,0.0,-90.0,9.200000000000005,20.8,24.0,1564.945226917058,Northeast
NH,2019,0,13.400000000000006,24.02500000000001,3.4,18.2,0.0,-90.0,9.200000000000005,20.8,24.700000000000003,1564.945226917058,Northeast
NH,2020,0,21.200000000000003,31.34999999999999,3.8,18.2,0.0,-90.0,9.700000000000005,21.7,26.59999999999999,1515.1515151515152,Northeast
NH,2021,0,19.700000000000003,38.675,3.7,18.2,0.0,-90.5,8.23333333333332,21.0,26.59999999999999,1499.2503748125937,Northeast
NH,2022,0,17.700000000000003,46.0,3.2,18.2,0.0,-91.0,6.76666666666668,20.3,26.59999999999999,1540.8320493066255,Northeast
NH,2023,0,15.799999999999995,46.0,3.2,19.9,0.0,-91.0,5.299999999999997,19.6,27.40000000000001,1453.4883720930234,Northeast
NJ,2018,0,26.5,21.700000000000003,4.0,26.0,0.0,-80.0,10.5,25.4,26.299999999999997,2024.2914979757088,Northeast
NJ,2019,0,25.90000000000001,28.674999999999997,4.0,26.0,0.0,-81.0,10.5,25.6,26.299999999999997,2024.2914979757088,Northeast
NJ,2020,0,27.5,35.650000000000006,3.8,26.0,0.0,-82.0,15.099999999999994,23.5,26.299999999999997,1953.125,Northeast
NJ,2021,0,26.09999999999999,42.625,3.8,26.0,0.0,-83.5,9.599999999999994,20.7,26.799999999999997,1915.708812260536,Northeast
NJ,2022,0,27.09999999999999,49.6,3.6,26.0,0.0,-85.0,10.099999999999994,20.8,27.0,2197.802197802198,Northeast
NJ,2023,0,26.5,49.6,3.6,23.9,0.0,-85.0,7.599999999999994,23.9,27.0,2164.5021645021643,Northeast
NM,2018,0,31.0,20.700000000000003,5.7,28.0,3.0,-82.0,12.5,31.1,31.799999999999997,1483.6795252225518,West
NM,2019,0,34.599999999999994,27.950000000000003,5.5,28.0,3.0,-82.0,12.5,26.7,34.400000000000006,1483.6795252225518,West
NM,2020,0,34.2,35.2,5.5,28.0,3.0,-82.0,13.799999999999995,31.5,34.400000000000006,1453.4883720930234,West
NM,2021,0,32.2,42.45,5.3,28.0,3.0,-85.0,12.200000000000005,26.5,38.5,1434.7202295552368,West
NM,2022,0,34.3,49.7,5.3,28.0,3.0,-88.0,12.799999999999995,25.9,37.5,1510.5740181268882,West
NM,2023,0,32.7,49.7,5.2,28.5,3.0,-88.0,11.900000000000006,25.9,37.5,1510.5740181268882,West
NV,2018,0,25.799999999999997,19.90000000000001,5.9,20.4,3.4,-77.0,15.400000000000006,52.0,34.900000000000006,2770.083102493075,West
NV,2019,0,26.40000000000001,28.875,5.9,20.4,3.4,-74.5,15.400000000000006,52.0,36.5,2770.083102493075,West
NV,2020,0,23.700000000000003,37.85,5.2,20.4,3.4,-72.0,15.400000000000006,52.0,35.8,2666.6666666666665,West
NV,2021,0,25.200000000000003,46.825,5.2,20.4,3.4,-75.5,15.400000000000006,52.0,35.8,2673.7967914438505,West
NV,2022,0,26.700000000000003,55.8,5.2,20.4,3.4,-79.0,15.400000000000006,52.0,36.5,2873.5632183908046,West
NV,2023,0,26.700000000000003,55.8,5.2,22.7,3.4,-79.0,15.400000000000006,52.0,36.8,2840.9090909090905,West
NY,2018,0,23.700000000000003,21.299999999999997,4.3,22.4,0.2,-82.0,11.700000000000005,25.4,21.0,1730.1038062283735,Northeast
NY,2019,0,23.0,29.950000000000003,4.2,22.4,0.2,-82.5,9.400000000000006,24.0,21.700000000000003,1730.1038062283735,Northeast
NY,2020,0,24.799999999999997,38.599999999999994,4.2,22.4,0.2,-83.0,13.900000000000006,22.2,21.700000000000003,1663.8935108153078,Northeast
