State,Measure,Year,Value
ALL,Maternity Practices Score,2022,81.0
ALL,Maternity Practices Score,2023,81.0
ALL,Neonatal Mortality,2018,3.7
ALL,Neonatal Mortality,2019,3.7
ALL,Neonatal Mortality,2020,3.6
ALL,Neonatal Mortality,2021,3.5
ALL,Neonatal Mortality,2022,3.6
ALL,Neonatal Mortality,2023,3.6
ALL,Postpartum Depression,2018,13.2
ALL,Postpartum Depression,2019,13.4
ALL,Postpartum Depression,2020,13.6
ALL,Postpartum Depression,2021,12.7
ALL,Postpartum Depression,2022,12.3
ALL,Postpartum Depression,2023,11.9
ALL,Postpartum Visit,2018,90.1
ALL,Postpartum Visit,2019,90.7
ALL,Postpartum Visit,2020,88.4
ALL,Postpartum Visit,2021,90.9
ALL,Postpartum Visit,2022,90.6
ALL,Postpartum Visit,2023,90.3
ALL,Poverty,2018,12.7
ALL,Poverty,2019,12.2
ALL,Poverty,2020,12.5
ALL,Poverty,2021,12.8
ALL,Poverty,2022,12.8
ALL,Poverty,2023,12.7
ALL,Severe Maternal Morbidity,2018,77.5
ALL,Severe Maternal Morbidity,2019,81.0
ALL,Severe Maternal Morbidity,2020,88.3
ALL,Severe Maternal Morbidity,2021,100.3
ALL,Severe Maternal Morbidity,2022,94.7
ALL,Severe Maternal Morbidity,2023,94.7
ALL,Smoking During Pregnancy,2018,6.5
ALL,Smoking During Pregnancy,2019,6.0
ALL,Smoking During Pregnancy,2020,5.5
ALL,Smoking During Pregnancy,2021,4.6
ALL,Smoking During Pregnancy,2022,3.7
ALL,Smoking During Pregnancy,2023,3.0
ALL,Unemployment,2018,5.0
ALL,Unemployment,2019,4.5
ALL,Unemployment,2020,5.4
ALL,Unemployment,2021,6.3
ALL,Unemployment,2022,4.3
ALL,Unemployment,2023,4.3
ALL,Uninsured Women,2018,12.6
ALL,Uninsured Women,2019,12.9
ALL,Uninsured Women,2020,12.350000000000001
ALL,Uninsured Women,2021,11.8
ALL,Uninsured Women,2022,10.9
ALL,Uninsured Women,2023,10.8
ALL,Unintended Pregnancy,2018,30.4
ALL,Unintended Pregnancy,2019,30.6
ALL,Unintended Pregnancy,2020,28.5
ALL,Unintended Pregnancy,2021,25.5
ALL,Unintended Pregnancy,2022,25.5
ALL,Unintended Pregnancy,2023,25.5
ALL,Voter Participation (Average),2018,60.1
ALL,Voter Participation (Average),2019,60.1
ALL,Voter Participation (Average),2020,59.5
ALL,Voter Participation (Average),2021,59.5
ALL,Voter Participation (Average),2022,59.5
ALL,Voter Participation (Average),2023,58.8
ALL,WIC Coverage,2018,53.9
ALL,WIC Coverage,2019,51.099999999999994
ALL,WIC Coverage,2020,48.3
ALL,WIC Coverage,2021,49.9
ALL,WIC Coverage,2022,52.2
ALL,WIC Coverage,2023,52.2
ALL,Well-Woman Visit,2018,73.2
ALL,Well-Woman Visit,2019,73.2
ALL,Well-Woman Visit,2020,72.0
ALL,Well-Woman Visit,2021,71.2
ALL,Well-Woman Visit,2022,72.7
ALL,Well-Woman Visit,2023,72.7
ALL,Women's Health Providers,2018,47.0
ALL,Women's Health Providers,2019,47.0
ALL,Women's Health Providers,2020,48.5
ALL,Women's Health Providers,2021,49.5
ALL,Women's Health Providers,2022,46.0
ALL,Women's Health Providers,2023,46.9
AR,Adequate Prenatal Care,2018,72.5
AR,Adequate Prenatal Care,2019,73.8
AR,Adequate Prenatal Care,2020,71.5
AR,Adequate Prenatal Care,2021,71.9
AR,Adequate Prenatal Care,2022,73.3
AR,Adequate Prenatal Care,2023,74.2
AR,Avoided Care Due to Cost,2018,14.9
AR,Avoided Care Due to Cost,2019,15.7
AR,Avoided Care Due to Cost,2020,13.7
AR,Avoided Care Due to Cost,2021,11.7
AR,Avoided Care Due to Cost,2022,13.8
AR,Avoided Care Due to Cost,2023,13.9
AR,Cervical Cancer Screening,2018,83.6
AR,Cervical Cancer Screening,2019,74.375
