State,Year,Inadequate Prenatal Care,Avoided Care Due to Cost,No Cancer Screen,Concentrated Disadvantage,Food Insecurity,Gender Pay Gap,Infant Child Care Affordability,Infant Mortality,Low Birth Weight,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,Neonatal Mortality,Postpartum Depression,No Postpartum Visit,Poverty,Severe Maternal Morbidity,Smoking During Pregnancy,Unemployment,Uninsured Women,Unintended Pregnancy,Voter Abstainment,WIC Shortfall,No Preventative,Patients Per Doctor
LA,2020,23.099999999999994,13.2,27.900000000000006,43.5,15.2,28.30000000000001,9.4,7.4,10.9,37.3,5.4,-81.0,4.6,16.8,13.700000000000003,19.2,81.5,5.0,6.55,10.35,40.4,44.9,65.5,22.0,2487.5621890547263
LA,2021,24.200000000000003,11.6,35.099999999999994,43.5,15.2,27.900000000000006,9.0,7.4,11.3,37.3,5.4,-81.5,4.0,12.1,10.900000000000006,19.4,85.2,4.4,7.6,9.1,36.8,44.9,66.0,23.400000000000006,2444.987775061125
LA,2022,25.400000000000006,12.1,42.3,43.5,15.2,25.200000000000003,8.8,7.3,11.5,37.3,5.4,-82.0,3.9,9.65,7.599999999999994,19.0,81.1,3.3,5.4,8.0,36.8,44.9,66.5,19.700000000000003,2557.544757033248
LA,2023,24.900000000000006,11.5,42.3,43.8,16.2,28.799999999999997,8.4,7.3,11.3,40.7,5.4,-82.0,3.9,7.2,4.299999999999997,19.4,81.1,2.9,4.9,8.6,36.8,46.9,66.5,19.700000000000003,2421.3075060532688
MA,2018,16.599999999999994,8.8,19.099999999999994,19.2,8.4,16.700000000000003,16.8,4.0,7.6,16.4,0.0,-86.0,3.0,10.3,6.700000000000003,10.7,105.2,4.3,4.9,3.5,21.7,39.1,37.8,23.0,1579.778830963665
MA,2019,15.299999999999997,8.7,25.64999999999999,19.2,8.4,18.700000000000003,16.4,3.8,7.6,14.4,0.0,-85.5,2.8,10.2,7.099999999999994,10.3,100.1,3.9,3.9,3.6,23.8,39.1,38.7,22.200000000000003,1579.778830963665
MA,2020,22.0,7.949999999999999,32.19999999999999,19.2,8.5,16.599999999999994,16.0,3.6,7.4,14.4,0.0,-85.0,2.6,10.0,9.700000000000003,10.9,107.2,3.5,5.25,3.25,19.5,38.5,39.6,22.200000000000003,1547.9876160990714
MA,2021,19.799999999999997,7.2,38.75,19.2,8.5,14.5,16.2,3.6,7.5,14.4,0.0,-86.5,2.6,10.4,7.400000000000006,11.5,117.5,2.8,6.6,2.9,19.5,38.5,37.4,23.799999999999997,1540.8320493066255
MA,2022,21.200000000000003,7.1,45.3,19.2,8.5,15.900000000000006,14.6,3.3,7.8,14.4,0.0,-88.0,2.3,10.0,7.200000000000003,11.7,111.0,2.2,4.1,2.7,17.7,38.5,32.8,20.799999999999997,1706.4846416382252
MA,2023,18.400000000000006,7.1,45.3,21.1,9.3,14.099999999999994,15.9,3.3,7.6,14.4,0.0,-88.0,2.3,10.4,6.900000000000006,11.3,111.0,1.7,3.9,3.3,17.7,37.2,32.8,20.799999999999997,1675.041876046901
MD,2018,27.400000000000006,11.2,20.700000000000003,21.9,9.2,14.0,12.7,5.9,8.8,21.3,0.4,-79.0,4.0,15.6,7.700000000000003,8.9,82.9,5.3,5.1,8.3,31.2,36.1,37.7,22.700000000000003,1754.3859649122808
